"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<184.08 23:39:53> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [78]
"<184.08 23:39:53> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [80]
"<186.10 23:39:55> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [82]
"<186.10 23:39:55> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [84]
"<186.20 23:39:55> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [85]
"<188.12 23:39:57> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [87]
"<188.12 23:39:57> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [89]
"<190.16 23:39:59> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [91]
"<190.16 23:39:59> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [93]
"<192.17 23:40:01> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [95]
"<192.17 23:40:01> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [97]
"<194.18 23:40:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [99]
"<194.18 23:40:03> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [101]
"<196.18 23:40:05> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [103]
"<196.18 23:40:05> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [105]
"<198.18 23:40:07> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [107]
"<198.19 23:40:07> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [109]
